	Temperature (C)	Heat Flow (W/g)
501	25.65	-0.021915367747280978
502	25.66	-0.02171091652489965
503	25.67	-0.0215731319580299
504	25.68	-0.02160034737966754
505	25.69	-0.021447562789470354
506	25.7	-0.02149192104423392
507	25.71	-0.02142199357218022
508	25.72	-0.02134254227771537
509	25.73	-0.0212297576366689
510	25.74	-0.021133639648677427
511	25.75	-0.02109585498003863
512	25.76	-0.02125807029704685
513	25.77	-0.02124528559932548
514	25.78	-0.021312500886491836
515	25.79	-0.021519716158162616
516	25.8	-0.02172693141394655
517	25.81	-0.021827479986781917
518	25.82	-0.02182421901912779
519	25.83	-0.021968577082009944
520	25.84	-0.02193579227025877
521	25.85	-0.0219630074406032
522	25.86	-0.02208022259262643
523	25.87	-0.02231743772590722
524	25.88	-0.022204652840017935
525	25.89	-0.02242520126785852
526	25.9	-0.022350511580424115
527	25.91	-0.022216298062986528
528	25.92	-0.022286846429385054
529	25.93	-0.022290728107738467
530	25.94	-0.02237794309758856
531	25.95	-0.02231515806514084
532	25.96	-0.022202373009929666
533	25.97	-0.022156254598151737
534	25.98	-0.0219768028293319
535	25.99	-0.02183901770299279
536	26.0	-0.02171789921864775
537	26.01	-0.021738447375808434
538	26.02	-0.021425662173981674
539	26.03	-0.021387876946002304
540	26.04	-0.0211667583580315
541	26.05	-0.021067306409563002
542	26.06	-0.02094118776674847
543	26.07	-0.02074173576240579
544	26.08	-0.020673950396009833
545	26.09	-0.020519498333702924
546	26.1	-0.020323379574953115
547	26.11	-0.020235594119228484
548	26.12	-0.01999780863265732
549	26.13	-0.019960023114697023
550	26.14	-0.01964723756480158
551	26.15	-0.01965945198241803
552	26.16	-0.019546666366992316
553	26.17	-0.019433880717963703
554	26.18	-0.01920109503476919
555	26.19	-0.019174975983507814
556	26.2	-0.0187955235636057
557	26.21	-0.0185827377744876
558	26.22	-0.018469951948904217
559	26.23	-0.018332166086273194
560	26.24	-0.018144380186006615
561	26.25	-0.01805659424751216
562	26.26	-0.017918808270194653
563	26.27	-0.0178310222534539
564	26.28	-0.017713236196687188
565	26.29	-0.017640450099286387
566	26.3	-0.017527663960640094
567	26.31	-0.01755487778013398
568	26.32	-0.01752209155714901
569	26.33	-0.017379305291064018
570	26.34	-0.01729651898125395
571	26.35	-0.017328732627091004
572	26.36	-0.01741594622794196
573	26.37	-0.017244826449837714
574	26.38	-0.017340373292138445
575	26.39	-0.01725258675420127
576	26.4	-0.017377300168714527
577	26.41	-0.01757701353502794
578	26.42	-0.017464226852489162
579	26.43	-0.017501440120441192
580	26.44	-0.017463653338225082
581	26.45	-0.017655866505175588
582	26.46	-0.01762974628729186
583	26.47	-0.017616959350569505
584	26.48	-0.017637505694333644
585	26.49	-0.017599718651239993
586	26.5	-0.01751193155393871
587	26.51	-0.017499144401745603
588	26.52	-0.017436357193969965
589	26.53	-0.017348569929918956
590	26.54	-0.0171607826088942
591	26.55	-0.0170729952301949
592	26.56	-0.017085207793115842
593	26.57	-0.01698908696361645
594	26.58	-0.016934632740985833
595	26.59	-0.01709684512450993
596	26.6	-0.017134057446806406
597	26.61	-0.017031269707154628
598	26.62	-0.0169584819048314
599	26.63	-0.01699569403911072
